company,sector,stage,year,month,date,mrr_usd,arr_usd,new_mrr_usd,expansion_mrr_usd,churned_mrr_usd,net_new_mrr_usd,total_customers,acv_usd,gross_margin_pct,gross_profit_usd,sm_expense_pct,rd_expense_pct,ga_expense_pct,total_opex_usd,ebitda_usd,ebitda_margin_pct,cac_usd,ltv_usd,ltv_cac_ratio,payback_months,nrr_pct,logo_churn_pct,dso_days,dpo_days,cash_burn_usd,runway_months,rule_of_40_score,mom_growth_pct,yoy_growth_pct,sector_avg_growth_pct,growth_vs_sector_pp
NexaFlow,CRM,Series C,2021,1,2021-01-01,3102.48,37229.78,333.53,230.17,29.36,534.33,0,37.23,69.51,2156.52,30.09,20.48,8.21,1823.64,332.88,10.73,4.0,308.6,77.1,1.9,106.47,0.946,29,34,0.0,99,28.7,1.46,17.57,18.0,-0.43
NexaFlow,CRM,Series C,2021,2,2021-02-01,3642.16,43705.87,552.16,200.94,69.3,683.8,0,43.71,78.11,2844.72,48.86,24.86,9.12,3017.36,-172.64,-4.74,6.63,468.22,70.67,2.3,103.61,1.903,41,43,145.17,20,13.3,1.46,17.48,18.0,-0.52
NexaFlow,CRM,Series C,2021,3,2021-03-01,4883.9,58606.77,685.57,360.35,103.26,942.66,0,58.61,68.38,3339.43,37.08,22.18,13.81,3568.53,-229.09,-4.69,8.23,358.66,43.6,2.5,105.26,2.114,64,34,247.84,9,13.3,1.9,22.78,18.0,4.78
NexaFlow,CRM,Series C,2021,4,2021-04-01,5717.14,68605.64,835.42,509.47,116.98,1227.92,0,68.61,69.87,3994.52,37.12,20.89,13.84,4108.11,-113.59,-1.99,10.03,668.46,66.68,2.5,106.87,2.046,45,26,118.55,13,16.0,1.78,21.32,18.0,3.32
NexaFlow,CRM,Series C,2021,5,2021-05-01,5495.75,65949.04,693.71,470.02,57.15,1106.57,0,65.95,78.93,4337.54,35.78,24.99,8.39,3801.0,536.55,9.76,8.32,421.12,50.59,1.9,107.51,1.04,53,39,0.0,99,27.8,1.32,15.8,18.0,-2.2
NexaFlow,CRM,Series C,2021,6,2021-06-01,6952.23,83426.71,602.19,445.16,161.73,885.62,0,83.43,79.02,5493.87,39.98,26.5,12.5,5491.03,2.84,0.04,7.23,1086.91,150.41,1.3,104.08,2.326,63,38,0.0,99,18.0,1.46,17.52,18.0,-0.48
NexaFlow,CRM,Series C,2021,7,2021-07-01,8376.47,100517.63,1158.91,752.54,102.53,1808.92,0,100.52,75.09,6289.96,46.14,26.19,9.07,6818.7,-528.74,-6.31,13.91,709.58,51.02,2.2,107.76,1.224,32,46,503.7,22,11.7,1.5,17.94,18.0,-0.06
NexaFlow,CRM,Series C,2021,8,2021-08-01,7976.02,95712.24,1060.1,651.22,194.79,1516.53,0,95.71,71.91,5735.55,44.36,21.98,9.87,6078.48,-342.93,-4.3,10.91,1304.23,119.51,1.9,105.72,2.442,55,32,336.58,31,13.7,1.24,14.83,18.0,-3.17
NexaFlow,CRM,Series C,2021,9,2021-09-01,13280.33,159363.99,1727.22,1125.61,113.85,2738.98,0,159.36,77.82,10334.99,43.33,22.92,9.07,10002.92,332.07,2.5,9.49,1277.72,134.57,0.9,107.62,0.857,61,22,0.0,99,20.5,1.64,19.67,18.0,1.67
NexaFlow,CRM,Series C,2021,10,2021-10-01,11997.57,143970.82,1678.39,440.46,177.23,1941.62,0,143.97,68.21,8183.0,47.36,18.11,9.69,9017.56,-834.56,-6.96,12.43,2072.99,166.83,1.5,102.19,1.477,59,26,994.12,25,11.0,1.36,16.35,18.0,-1.65
NexaFlow,CRM,Series C,2021,11,2021-11-01,16536.49,198437.87,2108.87,759.08,264.52,2603.43,0,198.44,76.08,12580.31,33.08,22.01,13.11,11278.47,1301.84,7.87,19.09,2037.23,106.73,1.5,102.99,1.6,51,50,0.0,99,25.9,1.51,18.16,18.0,0.16
NexaFlow,CRM,Series C,2021,12,2021-12-01,16384.23,196610.73,2784.69,735.23,229.87,3290.05,0,196.61,81.71,13386.82,41.29,22.65,8.05,11795.69,1591.13,9.71,13.06,2931.65,224.49,1.0,103.08,1.403,32,24,0.0,99,27.7,1.37,16.44,18.0,-1.56
NexaFlow,CRM,Series C,2022,1,2022-01-01,15821.39,189856.68,1642.27,678.01,290.79,2029.49,0,189.86,68.9,10901.38,41.71,21.14,13.49,12078.38,-1177.0,-7.44,7.28,2291.59,314.83,0.7,102.45,1.838,34,49,1108.4,21,6.6,1.23,14.77,18.0,-3.23
NexaFlow,CRM,Series C,2022,2,2022-02-01,14883.26,178599.16,1885.75,1047.81,291.44,2642.12,0,178.6,80.62,11999.21,37.66,19.41,14.03,10582.83,1416.38,9.52,17.42,2156.34,123.81,1.5,105.08,1.958,56,30,0.0,99,23.6,1.1,13.15,18.0,-4.85
NexaFlow,CRM,Series C,2022,3,2022-03-01,14255.71,171068.52,1496.57,806.7,334.51,1968.76,0,171.07,74.3,10591.34,29.21,27.99,13.85,10129.68,461.67,3.24,6.45,999.44,154.98,0.6,103.31,2.347,43,32,0.0,99,17.3,0.99,11.9,18.0,-6.1
NexaFlow,CRM,Series C,2022,4,2022-04-01,25328.84,303946.13,3055.71,2073.9,370.49,4759.12,0,303.95,79.7,20185.84,28.05,20.08,14.49,15859.11,4326.73,17.08,8.63,3225.58,373.8,0.4,106.73,1.463,63,53,0.0,99,31.1,1.27,15.18,18.0,-2.82
NexaFlow,CRM,Series C,2022,5,2022-05-01,30380.54,364566.43,5373.43,1899.75,503.82,6769.36,0,364.57,81.2,24668.9,42.02,21.54,13.97,23552.92,1115.98,3.67,28.83,2079.75,72.13,1.2,104.59,1.658,33,33,0.0,99,17.7,1.29,15.46,18.0,-2.54
NexaFlow,CRM,Series C,2022,6,2022-06-01,38882.03,466584.38,3376.99,3177.02,247.26,6306.75,0,466.58,68.82,26757.7,41.67,22.53,8.28,28180.28,-1422.57,-3.66,16.73,3359.51,200.81,0.6,107.53,0.636,64,55,1318.08,16,10.4,1.34,16.12,18.0,-1.88
NexaFlow,CRM,Series C,2022,7,2022-07-01,40048.87,480586.47,4159.82,2815.49,517.26,6458.05,0,480.59,77.57,31067.32,46.04,15.94,11.21,29314.1,1753.22,4.38,6.24,2676.89,429.03,0.2,105.74,1.292,32,35,0.0,99,18.4,1.28,15.39,18.0,-2.61
