quarter,state,specialty,hcp_segment,kol_flag,product,molecule,company,moa,route_admin,nrx_count,trx_count,refill_rate,market_share_pct,commercial_payer_pct,medicare_payer_pct,medicaid_payer_pct,cash_pay_pct,pa_required,step_edit_required,formulary_tier,payer_access_score_1_10,wac_monthly_usd,net_price_monthly_usd,gross_to_net_pct,efficacy_perception_1_10,safety_perception_1_10,convenience_perception_1_10,value_perception_1_10,hcp_nps,rep_accessible,digital_engager,samples_accepted,indication_t2dm,indication_obesity,indication_cv_risk
2024Q2,WA,Cardiology,Mid Volume (Decile 2-5),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,79,224,2.84,10.9,61.4,26.3,12.2,8.4,True,True,Specialty,4.2,1059,759.0,28.4,9.7,6.4,8.7,7.5,36,True,False,False,True,True,False
2024Q4,TN,Endocrinology,Non-Writer,False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,11,57,5.18,1.7,60.9,36.6,2.4,8.9,True,True,Tier 3 Non-Pref,4.5,492,293.0,40.4,6.7,5.6,7.7,5.6,83,True,False,False,True,False,False
2024Q3,NJ,Primary Care,Low Volume (Decile 6-10),False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,112,652,5.82,20.3,51.9,35.3,12.8,3.2,True,False,Not Covered,4.8,936,625.0,33.3,7.1,7.4,7.1,5.5,31,False,False,False,True,False,True
2024Q1,FL,Cardiology,Mid Volume (Decile 2-5),False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,56,233,4.16,21.8,44.9,41.0,14.1,4.5,True,True,Specialty,6.3,1023,759.0,25.8,9.0,7.4,7.2,7.5,66,False,True,False,True,False,True
2025Q1,IL,Internal Medicine,Low Volume (Decile 6-10),False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,42,164,3.9,8.0,65.2,37.9,0.0,3.9,False,False,Specialty,8.9,743,490.0,34.0,8.2,7.5,9.2,5.7,41,False,True,True,True,False,False
2024Q3,OH,Endocrinology,Mid Volume (Decile 2-5),False,Farxiga,dapagliflozin,AstraZeneca,SGLT2i,Oral daily,40,243,6.08,3.6,69.1,19.6,11.3,3.8,True,False,Not Covered,6.9,587,416.0,29.2,8.8,6.8,6.6,7.6,53,False,True,False,True,False,False
2024Q2,NY,Internal Medicine,Low Volume (Decile 6-10),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,33,102,3.09,3.1,65.7,35.3,0.0,2.2,True,True,Specialty,8.7,686,528.0,23.0,6.6,5.9,5.4,6.4,5,True,True,False,True,False,False
2024Q1,MO,Internal Medicine,Mid Volume (Decile 2-5),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,74,391,5.28,14.7,59.0,37.5,3.5,2.0,True,True,Tier 3 Non-Pref,4.1,1349,995.0,26.3,7.8,7.9,9.2,6.5,-3,False,False,False,True,True,False
2024Q3,IL,Primary Care,High Volume (Top Decile),False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,13,56,4.31,0.7,44.7,23.9,31.4,9.4,True,True,Not Covered,9.5,492,327.0,33.6,7.2,7.5,7.8,5.5,43,True,True,False,True,False,False
2024Q1,PA,Primary Care,Low Volume (Decile 6-10),False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,32,152,4.75,6.2,56.6,23.7,19.7,5.5,True,False,Tier 3 Non-Pref,6.1,743,609.0,18.0,5.3,9.1,8.1,5.1,53,False,False,False,True,False,False
